id_filename,decision_sign,name,party,legal area,entscheid
349,6B_293/2025,Guidon,SVP,Strafrecht,teilweise gutgeheissen
34,5A_481/2026,De Rossa,SP,Zivilrecht,teilweise gutgeheissen
350,6B_80/2026,Glassey,Die Mitte,Strafrecht,abgewiesen
352,5A_481/2024,De Rossa,SP,Zivilrecht,abgewiesen
353,7B_413/2026,Kölz,Grüne,Strafrecht,nicht eingetreten
356,7B_397/2025,Kölz,Grüne,Strafrecht,gutgeheissen
361,5A_492/2026,De Rossa,SP,Zivilrecht,abgewiesen
362,5A_498/2026,De Rossa,SP,Zivilrecht,abgewiesen
363,5A_500/2026,Josi,SVP,Zivilrecht,abgewiesen
364,5A_507/2026,Josi,SVP,Zivilrecht,abgewiesen
365,5F_21/2026,De Rossa,SP,AndererBereich,abgewiesen
366,5F_22/2026,De Rossa,SP,AndererBereich,abgewiesen
367,5F_23/2026,De Rossa,SP,AndererBereich,abgewiesen
368,5A_581/2025,Josi,SVP,Zivilrecht,gutgeheissen
371,7B_641/2026,Kölz,Grüne,Strafrecht,gutgeheissen
372,4A_562/2025,Rüedi,SVP,Zivilrecht,gutgeheissen
373,1C_401/2024,Kneubühler,SP,Öffentliches Recht,abgewiesen
376,1C_105/2026,Müller,SVP,Öffentliches Recht,abgewiesen
377,8C_563/2025,Heine,SVP,Öffentliches Recht,abgewiesen
378,8C_526/2025,Métral,Grüne,Öffentliches Recht,teilweise gutgeheissen
379,1C_106/2026,Merz,Mitte,Öffentliches Recht,gutgeheissen
380,2D_3/2026,Kradolfer,FDP,Subsidiäre Verfassungsbeschwerde,abgewiesen
382,6B_142/2026,Glassey,Die Mitte,Strafrecht,abgewiesen
383,9C_249/2026,Bollinger,SVP,Öffentliches Recht,abgewiesen
384,2C_111/2026,Kradolfer,FDP,Öffentliches Recht,abgewiesen
385,2C_663/2025,Kradolfer,FDP,Öffentliches Recht,nicht eingetreten
386,5A_246/2025,De Rossa,SP,Zivilrecht,gutgeheissen
387,6B_111/2026,Glassey,Die Mitte,Strafrecht,abgewiesen
388,5A_50/2026,Josi,SVP,Zivilrecht,teilweise gutgeheissen
389,5A_59/2026,De Rossa,SP,Zivilrecht,nicht eingetreten
38,7B_779/2026,Hofmann,Die Mitte,Strafrecht,abgewiesen
390,5A_705/2025,Josi,SVP,Zivilrecht,gutgeheissen
391,9C_255/2026,Bollinger,SVP,Öffentliches Recht,abgewiesen
392,9C_683/2024,Parrino,SP,Öffentliches Recht,gutgeheissen
395,5A_678/2025,Josi,SVP,Zivilrecht,nicht eingetreten
397,8C_559/2025,Métral,Grüne,Öffentliches Recht,abgewiesen
398,9F_15/2026,Bollinger,SVP,AndererBereich,abgewiesen
39,2C_632/2025,Kradolfer,FDP,Öffentliches Recht,abgewiesen
3,6B_946/2024,Glassey,Die Mitte,Strafrecht,abgewiesen
404,6B_826/2024,Wohlhauser,SP,Strafrecht,abgewiesen
405,2C_724/2025,Kradolfer,FDP,Öffentliches Recht,abgeschrieben
406,2C_498/2025,Kradolfer,FDP,Öffentliches Recht,abgewiesen
407,2C_660/2025,Kradolfer,FDP,Öffentliches Recht,abgewiesen
408,2C_88/2026,Ryter,SP,Öffentliches Recht,nicht eingetreten
409,6B_988/2025,Wohlhauser,SP,Strafrecht,gutgeheissen
40,2C_634/2025,Kradolfer,FDP,Öffentliches Recht,abgewiesen
414,4A_153/2026,Rüedi,SVP,Zivilrecht,abgewiesen
416,7B_629/2024,Brunner,SVP,Strafrecht,abgewiesen
417,1C_644/2025,Kneubühler,SP,Öffentliches Recht,abgewiesen
419,7B_106/2025,Hofmann,Die Mitte,Strafrecht,abgewiesen
41,4A_654/2025,Rüedi,SVP,Zivilrecht,abgewiesen
420,8C_700/2025,Heine,SVP,Öffentliches Recht,abgewiesen
421,"7B_262/2026, 7B_296/2026",Kölz,Grüne,Strafrecht,gutgeheissen
424,9C_694/2025,Beusch,SP,Öffentliches Recht,abgewiesen
42,"2C_31/2025, 2C_34/2025",Hänni,Die Mitte,Öffentliches Recht,abgewiesen
435,4A_257/2025,Denys,Grüne,Zivilrecht,abgewiesen
436,8C_159/2026,Métral,Grüne,Öffentliches Recht,gutgeheissen
437,7B_134/2025,Hofmann,Die Mitte,Strafrecht,gutgeheissen
439,7B_734/2025,Hofmann,Die Mitte,Strafrecht,gutgeheissen
43,1C_730/2025,Hänni,Die Mitte,Öffentliches Recht,gutgeheissen
440,7F_45/2025,Hofmann,Die Mitte,AndererBereich,nicht eingetreten
441,7B_261/2026,Hofmann,Die Mitte,Strafrecht,gutgeheissen
442,1C_458/2025,Kneubühler,SP,Öffentliches Recht,abgewiesen
443,1C_538/2025,D. Hänni,SP,Öffentliches Recht,abgewiesen
444,7B_1291/2025,Hofmann,Die Mitte,Strafrecht,nicht eingetreten
445,7B_683/2025,Kölz,Grüne,Strafrecht,abgewiesen
448,7B_351/2024,Hofmann,Die Mitte,Strafrecht,gutgeheissen
44,2C_603/2025,Hänni,Die Mitte,Öffentliches Recht,teilweise gutgeheissen
459,7B_651/2026,Kölz,Grüne,Strafrecht,gutgeheissen
45,1C_100/2026,Merz,Mitte,Öffentliches Recht,gutgeheissen
460,4A_323/2025,Kiss,FDP,Zivilrecht,abgewiesen
462,"4A_571/2025, 4A_575/2025",Rüedi,SVP,Zivilrecht,abgewiesen
464,5A_506/2025,Hartmann,Grüne,Zivilrecht,abgewiesen
465,2C_699/2025,Kradolfer,FDP,Öffentliches Recht,gutgeheissen
467,5A_317/2026,Josi,SVP,Zivilrecht,nicht eingetreten
468,9C_78/2026,Bollinger,SVP,Öffentliches Recht,abgewiesen
469,2C_207/2026,Hänni,Die Mitte,Öffentliches Recht,gutgeheissen
46,1C_46/2026,Merz,Mitte,Öffentliches Recht,gutgeheissen
470,2C_285/2026,Hänni,Die Mitte,Öffentliches Recht,andere
471,5A_1100/2025,Josi,SVP,Zivilrecht,abgewiesen
473,5A_408/2026,Hartmann,Grüne,Zivilrecht,abgewiesen
475,4A_517/2025,Pontarolo,Mitte,Zivilrecht,abgewiesen
476,6B_633/2024,Kradolfer,FDP,Strafrecht,abgewiesen
477,6B_505/2025,Lötscher,SP,Strafrecht,abgewiesen
47,6B_735/2025,Guidon,SVP,Strafrecht,abgewiesen
480,8C_654/2024,Métral,Grüne,Öffentliches Recht,abgewiesen
481,9C_38/2026,Beusch,SP,Öffentliches Recht,teilweise gutgeheissen
482,9C_39/2026,Beusch,SP,Öffentliches Recht,teilweise gutgeheissen
484,6B_903/2025,Wohlhauser,SP,Strafrecht,abgewiesen
485,8C_66/2026,Métral,Grüne,Öffentliches Recht,abgewiesen
486,6B_415/2024,Glassey,Die Mitte,Strafrecht,abgewiesen
487,6B_132/2026,Glassey,Die Mitte,Strafrecht,abgewiesen
488,6B_197/2026,Glassey,Die Mitte,Strafrecht,abgewiesen
48,6B_747/2025,Wohlhauser,SP,Strafrecht,abgewiesen
490,6B_288/2025,Guidon,SVP,Strafrecht,abgewiesen
493,8C_680/2025,Métral,Grüne,Öffentliches Recht,abgewiesen
494,9C_326/2025,Beusch,SP,Öffentliches Recht,abgewiesen
496,1C_184/2026,Merz,Mitte,Öffentliches Recht,abgewiesen
497,1C_428/2024,Merz,Mitte,Öffentliches Recht,gutgeheissen
498,1F_6/2026,Kneubühler,SP,AndererBereich,abgewiesen
499,4D_23/2026,May Canellas,Die Mitte,Subsidiäre Verfassungsbeschwerde,abgewiesen
4,8C_714/2025,Scherrer Reber,FDP,Öffentliches Recht,abgewiesen
500,8C_94/2026,Bechaalany,SP,Öffentliches Recht,abgewiesen
501,6B_244/2026,Glassey,Die Mitte,Strafrecht,abgewiesen
502,6B_353/2025,Wohlhauser,SP,Strafrecht,teilweise gutgeheissen
503,7B_1289/2025,Koch,SP,Strafrecht,gutgeheissen
504,7B_334/2026,Hofmann,Die Mitte,Strafrecht,abgewiesen
505,8C_687/2025,Métral,Grüne,Öffentliches Recht,abgewiesen
509,2C_199/2026,Hänni,Die Mitte,Öffentliches Recht,nicht eingetreten
50,7B_384/2025,Hofmann,Die Mitte,Strafrecht,abgewiesen
510,4F_13/2026,Rüedi,SVP,AndererBereich,nicht eingetreten
513,5A_484/2026,Josi,SVP,Zivilrecht,abgewiesen
514,8C_184/2026,Scherrer Reber,FDP,Öffentliches Recht,teilweise gutgeheissen
515,1C_353/2025,Merz,Mitte,Öffentliches Recht,abgewiesen
516,5A_405/2026,De Rossa,SP,Zivilrecht,nicht eingetreten
51,7B_594/2024,Koch,SP,Strafrecht,nicht eingetreten
